User_ID,Age,Gender,Location_ID,Location_Name,Category,Rating,Review,Visit_Date,Duration,Activity,Companions,Accommodation,Price_Range,Local_Cuisine_Rating,Weather_Preference,Transport,Is_Family_Friendly,Language_Barrier,Budget,Recommend
415,60,Female,1047,Taj Mahal,Historical,1,Loved the architecture,2020-06-16,6.8,Sightseeing,1,Hostel,Low,2,Warm,Car,0,0,1500,1
429,37,Male,1752,Taj Mahal,Urban,5,Amazing view,2023-02-09,5.2,Photography,3,Guesthouse,High,1,Warm,Taxi,1,1,1500,1
975,56,Other,1388,Machu Picchu,Nature,2,Not worth the visit,2024-01-20,6.2,Photography,3,Hotel,Medium,2,Moderate,Public Transport,1,1,500,0
787,26,Female,1110,Taj Mahal,Nature,1,Breathtaking experience,2020-05-13,8.3,Hiking,0,Resort,High,1,Moderate,Walking,1,1,1000,0
960,19,Female,1903,Grand Canyon,Nature,3,Amazing view,2023-07-14,4.5,Photography,3,Airbnb,High,1,Moderate,Bike,1,0,1500,0
972,57,Female,1546,Taj Mahal,Urban,3,Loved the architecture,2023-09-01,1.3,Photography,2,Hostel,Low,4,Moderate,Taxi,1,0,5000,1
984,38,Other,1106,Eiffel Tower,Adventure,4,Loved the architecture,2024-08-06,8.2,Sightseeing,5,Guesthouse,High,4,Moderate,Car,1,1,5000,0
908,37,Male,1338,Eiffel Tower,Urban,2,Amazing view,2020-09-15,6.4,Hiking,4,Hotel,Medium,4,Moderate,Car,0,0,5000,1
710,46,Female,1649,Eiffel Tower,Nature,4,Amazing view,2020-10-17,9.5,Photography,5,Airbnb,Medium,2,Warm,Car,1,0,1000,0
701,42,Male,1667,Machu Picchu,Adventure,4,Not worth the visit,2022-06-19,3.2,Hiking,5,Guesthouse,Medium,1,Warm,Public Transport,1,0,1500,1
770,58,Other,1544,Grand Canyon,Urban,5,Not worth the visit,2023-11-06,1.9,Dining,0,Guesthouse,Low,5,Cool,Public Transport,0,1,3000,0
989,23,Female,1939,Machu Picchu,Adventure,1,Loved the architecture,2020-09-21,2.4,Shopping,4,Guesthouse,High,1,Cool,Car,1,1,2000,0
782,66,Other,1762,Great Wall of China,Nature,1,Loved the architecture,2020-01-05,1.3,Sightseeing,4,Hostel,Low,2,Warm,Taxi,1,1,3000,0
676,27,Male,1348,Machu Picchu,Historical,2,Not worth the visit,2021-09-20,1.6,Sightseeing,4,Hotel,Low,2,Moderate,Car,0,0,5000,1
765,34,Other,1669,Great Wall of China,Nature,4,Loved the architecture,2023-07-19,1.8,Sightseeing,1,Resort,Low,5,Warm,Walking,1,1,1000,1
737,54,Male,1637,Taj Mahal,Adventure,5,Amazing view,2021-01-25,5.1,Shopping,1,Hotel,High,4,Cool,Walking,0,0,1500,0
242,38,Male,1592,Machu Picchu,Adventure,3,Breathtaking experience,2022-04-03,4.2,Shopping,5,Hotel,Medium,3,Warm,Bike,0,1,2000,1
330,42,Male,1524,Great Wall of China,Urban,4,Breathtaking experience,2024-01-26,4.5,Shopping,0,Guesthouse,High,1,Cool,Public Transport,0,0,500,0
787,32,Female,1677,Eiffel Tower,Adventure,5,Loved the architecture,2022-03-05,4.5,Hiking,2,Airbnb,Low,3,Cool,Car,1,1,1500,0
819,68,Female,1300,Grand Canyon,Historical,1,Not worth the visit,2023-01-05,7.0,Dining,0,Airbnb,Medium,4,Cool,Public Transport,1,0,2000,1
473,42,Female,1069,Grand Canyon,Nature,4,Loved the architecture,2020-10-05,9.6,Photography,5,Hotel,Medium,3,Moderate,Car,1,1,1500,1
770,34,Male,1229,Taj Mahal,Nature,2,Amazing view,2021-11-09,5.7,Shopping,5,Guesthouse,High,2,Cool,Walking,0,1,5000,0
211,42,Male,1423,Eiffel Tower,Urban,1,Amazing view,2024-04-30,3.4,Hiking,2,Guesthouse,High,4,Moderate,Public Transport,0,1,5000,1
519,18,Male,1830,Grand Canyon,Nature,1,Too crowded,2021-06-20,9.7,Shopping,1,Hostel,Medium,1,Cool,Taxi,1,0,500,1
168,45,Female,1238,Taj Mahal,Nature,2,Amazing view,2023-10-09,3.9,Dining,5,Guesthouse,Low,1,Cool,Car,0,1,1500,1
437,27,Male,1738,Grand Canyon,Adventure,2,Amazing view,2022-07-16,2.8,Sightseeing,2,Hostel,High,1,Moderate,Taxi,1,0,2000,0
567,70,Male,1292,Grand Canyon,Urban,4,Too crowded,2023-06-22,8.8,Photography,3,Resort,High,2,Warm,Bike,0,0,1000,1
161,19,Male,1936,Machu Picchu,Nature,3,Breathtaking experience,2020-03-06,3.1,Dining,5,Guesthouse,High,4,Cool,Bike,0,1,3000,1
615,69,Male,1874,Eiffel Tower,Urban,3,Breathtaking experience,2022-10-26,5.4,Shopping,1,Airbnb,High,5,Cool,Car,1,0,2000,1
840,33,Female,1022,Machu Picchu,Urban,2,Too crowded,2024-04-24,8.0,Photography,2,Airbnb,Low,1,Warm,Taxi,0,1,1500,0
814,33,Female,1814,Machu Picchu,Nature,3,Amazing view,2023-02-15,4.7,Dining,3,Hostel,Medium,1,Cool,Public Transport,1,0,5000,1
818,52,Other,1887,Grand Canyon,Historical,1,Too crowded,2022-02-20,2.7,Sightseeing,2,Airbnb,Medium,5,Cool,Public Transport,0,1,1500,1
681,25,Male,1585,Grand Canyon,Historical,5,Loved the architecture,2024-02-13,3.0,Shopping,0,Hotel,High,2,Moderate,Car,1,1,5000,0
138,44,Male,1588,Machu Picchu,Adventure,1,Too crowded,2024-07-26,7.5,Sightseeing,5,Hostel,Low,4,Warm,Bike,0,0,1500,1
428,27,Female,1384,Eiffel Tower,Urban,3,Breathtaking experience,2022-06-13,10.0,Hiking,4,Resort,Low,5,Cool,Car,0,1,3000,0
961,36,Male,1657,Eiffel Tower,Nature,1,Amazing view,2020-04-19,5.5,Hiking,2,Airbnb,Low,4,Moderate,Walking,0,1,500,1
489,26,Female,1589,Grand Canyon,Nature,2,Loved the architecture,2022-08-05,9.0,Photography,5,Airbnb,Medium,1,Cool,Bike,0,1,3000,1
394,52,Other,1482,Eiffel Tower,Adventure,1,Not worth the visit,2020-02-21,6.1,Shopping,4,Airbnb,Low,3,Moderate,Bike,1,1,5000,0
545,55,Male,1634,Machu Picchu,Adventure,2,Loved the architecture,2023-04-29,4.1,Photography,3,Hostel,Medium,5,Moderate,Taxi,0,1,2000,0
578,66,Male,1646,Machu Picchu,Historical,4,Loved the architecture,2021-02-14,2.4,Sightseeing,3,Hotel,High,4,Warm,Car,0,1,3000,1
870,56,Male,1309,Grand Canyon,Adventure,4,Loved the architecture,2023-06-01,4.0,Dining,2,Airbnb,High,2,Cool,Walking,1,0,3000,1
239,69,Male,1624,Taj Mahal,Urban,3,Not worth the visit,2023-05-31,3.9,Sightseeing,4,Hostel,Low,1,Warm,Bike,1,0,500,1
198,68,Female,1110,Grand Canyon,Historical,3,Loved the architecture,2021-10-21,3.8,Shopping,5,Resort,Low,1,Cool,Taxi,0,0,3000,0
235,24,Male,1030,Eiffel Tower,Nature,1,Amazing view,2022-10-03,8.3,Shopping,3,Airbnb,High,4,Moderate,Public Transport,1,1,1000,0
704,25,Other,1737,Taj Mahal,Urban,4,Too crowded,2020-02-27,1.9,Hiking,0,Resort,Low,1,Moderate,Public Transport,0,1,2000,0
412,41,Male,1631,Machu Picchu,Urban,5,Too crowded,2024-02-24,6.6,Sightseeing,5,Airbnb,Medium,4,Cool,Taxi,0,0,2000,1
895,30,Female,1447,Grand Canyon,Historical,5,Amazing view,2022-10-24,6.5,Hiking,4,Resort,Low,3,Moderate,Public Transport,1,1,5000,0
453,53,Male,1734,Machu Picchu,Adventure,5,Not worth the visit,2020-11-18,2.6,Shopping,3,Hotel,High,2,Moderate,Bike,0,1,5000,1
253,70,Female,1163,Taj Mahal,Nature,2,Loved the architecture,2023-03-04,8.3,Photography,1,Guesthouse,Low,4,Warm,Taxi,0,0,3000,0
468,62,Female,1166,Eiffel Tower,Adventure,1,Not worth the visit,2021-08-14,2.2,Shopping,4,Hostel,High,1,Cool,Bike,0,0,3000,1
686,49,Male,1958,Eiffel Tower,Adventure,2,Amazing view,2021-09-09,2.6,Sightseeing,0,Guesthouse,High,4,Warm,Car,0,1,5000,1
881,66,Male,1612,Machu Picchu,Adventure,2,Breathtaking experience,2023-06-15,6.7,Sightseeing,2,Resort,High,1,Warm,Bike,0,1,3000,1
337,53,Other,1437,Grand Canyon,Urban,5,Too crowded,2022-06-18,2.0,Sightseeing,4,Resort,Low,2,Cool,Taxi,1,1,500,1
321,68,Male,1416,Grand Canyon,Nature,1,Breathtaking experience,2022-11-26,4.6,Dining,5,Resort,High,2,Cool,Taxi,1,0,1000,1
828,70,Other,1879,Grand Canyon,Nature,5,Amazing view,2020-10-25,1.6,Dining,1,Resort,Low,4,Cool,Walking,1,0,2000,0
842,57,Female,1983,Grand Canyon,Nature,2,Not worth the visit,2023-01-06,1.8,Hiking,1,Hostel,High,1,Cool,Walking,1,0,2000,1
601,35,Other,1383,Grand Canyon,Urban,5,Not worth the visit,2021-04-06,8.3,Hiking,5,Hotel,Low,2,Cool,Walking,0,1,1000,0
512,52,Female,1480,Machu Picchu,Adventure,4,Amazing view,2022-04-01,3.8,Photography,3,Hostel,High,1,Moderate,Car,0,0,500,1
473,35,Other,1063,Grand Canyon,Historical,5,Breathtaking experience,2024-08-15,9.7,Hiking,3,Hostel,Medium,1,Moderate,Bike,0,0,2000,1
251,37,Other,1715,Grand Canyon,Adventure,4,Not worth the visit,2020-06-08,4.9,Sightseeing,0,Hotel,Low,1,Warm,Bike,1,0,1500,0
191,53,Female,1211,Grand Canyon,Urban,1,Not worth the visit,2023-03-02,5.8,Shopping,2,Hostel,High,3,Moderate,Public Transport,0,0,2000,1
268,32,Female,1212,Grand Canyon,Urban,1,Breathtaking experience,2024-08-15,9.6,Hiking,1,Resort,High,4,Warm,Walking,0,1,1000,1
567,24,Male,1618,Taj Mahal,Historical,3,Not worth the visit,2024-04-02,1.8,Sightseeing,1,Hostel,High,3,Warm,Walking,1,1,2000,0
441,51,Other,1546,Taj Mahal,Adventure,3,Amazing view,2023-04-05,5.8,Shopping,3,Resort,Low,3,Cool,Bike,0,1,3000,1
604,54,Male,1243,Taj Mahal,Adventure,3,Amazing view,2024-02-05,3.3,Photography,5,Airbnb,High,5,Cool,Public Transport,1,0,3000,1
534,63,Male,1601,Grand Canyon,Historical,2,Too crowded,2021-08-11,5.2,Hiking,5,Guesthouse,Low,2,Cool,Taxi,1,1,1000,0
248,50,Other,1024,Eiffel Tower,Historical,5,Amazing view,2023-04-22,5.7,Dining,3,Guesthouse,Medium,4,Warm,Public Transport,1,1,500,1
284,31,Male,1145,Eiffel Tower,Historical,4,Breathtaking experience,2021-04-23,5.9,Sightseeing,3,Resort,High,4,Warm,Car,0,0,3000,0
577,57,Male,1943,Machu Picchu,Adventure,3,Loved the architecture,2023-05-16,8.9,Hiking,3,Guesthouse,Medium,3,Moderate,Bike,1,0,2000,0
235,38,Male,1826,Machu Picchu,Urban,3,Breathtaking experience,2023-10-21,2.3,Sightseeing,3,Guesthouse,High,2,Cool,Car,1,1,2000,0
603,67,Male,1912,Eiffel Tower,Nature,2,Loved the architecture,2023-11-27,5.2,Shopping,2,Airbnb,High,4,Warm,Car,0,0,5000,1
151,68,Male,1391,Great Wall of China,Historical,4,Breathtaking experience,2023-05-27,7.4,Hiking,2,Guesthouse,Medium,2,Cool,Car,1,0,1500,1
514,40,Male,1379,Machu Picchu,Nature,4,Loved the architecture,2022-02-08,6.4,Shopping,4,Hotel,Low,1,Moderate,Public Transport,0,0,3000,1
991,32,Male,1928,Great Wall of China,Adventure,4,Not worth the visit,2020-04-03,5.2,Photography,1,Airbnb,Low,5,Moderate,Walking,0,1,2000,1
642,24,Other,1751,Grand Canyon,Urban,1,Not worth the visit,2024-02-24,3.1,Hiking,1,Resort,High,4,Cool,Bike,1,1,1000,0
862,57,Other,1452,Grand Canyon,Nature,1,Breathtaking experience,2023-11-04,3.9,Shopping,0,Resort,Medium,5,Cool,Taxi,0,0,500,0
783,34,Male,1997,Grand Canyon,Historical,1,Loved the architecture,2022-07-29,9.9,Photography,4,Hotel,High,3,Moderate,Car,0,0,500,1
874,57,Female,1296,Eiffel Tower,Adventure,4,Loved the architecture,2021-01-18,5.6,Sightseeing,4,Airbnb,High,1,Moderate,Walking,1,1,5000,0
255,29,Male,1247,Great Wall of China,Nature,2,Breathtaking experience,2021-07-15,6.1,Dining,2,Hotel,High,2,Cool,Walking,0,1,1500,1
584,70,Male,1859,Taj Mahal,Nature,4,Not worth the visit,2024-08-29,7.3,Photography,3,Hostel,Low,5,Warm,Public Transport,1,1,1500,0
826,68,Other,1319,Eiffel Tower,Nature,3,Not worth the visit,2022-03-22,6.1,Dining,0,Airbnb,Medium,3,Moderate,Bike,1,1,1500,0
604,38,Female,1695,Grand Canyon,Nature,2,Amazing view,2024-01-11,3.1,Sightseeing,1,Airbnb,Low,3,Warm,Taxi,1,0,5000,1
223,38,Other,1570,Grand Canyon,Urban,2,Loved the architecture,2020-04-07,6.4,Photography,2,Guesthouse,Low,1,Cool,Walking,0,1,2000,0
896,34,Male,1087,Grand Canyon,Nature,3,Too crowded,2023-03-20,8.0,Dining,4,Hostel,Medium,3,Warm,Taxi,0,1,1000,0
756,62,Male,1205,Machu Picchu,Urban,3,Loved the architecture,2024-01-01,2.0,Shopping,3,Airbnb,Low,3,Warm,Bike,1,0,5000,1
226,25,Male,1383,Grand Canyon,Historical,1,Loved the architecture,2022-05-14,8.3,Hiking,2,Guesthouse,Low,1,Cool,Bike,1,1,3000,1
964,56,Male,1823,Great Wall of China,Adventure,3,Loved the architecture,2021-01-11,1.9,Photography,0,Hotel,Low,5,Moderate,Taxi,0,1,1500,0
327,59,Female,1769,Machu Picchu,Urban,5,Too crowded,2024-08-13,3.6,Shopping,5,Resort,High,4,Cool,Public Transport,0,1,1500,1
224,31,Female,1086,Machu Picchu,Historical,5,Too crowded,2020-03-23,3.9,Sightseeing,0,Airbnb,Low,3,Moderate,Walking,0,0,3000,0
281,36,Male,1068,Eiffel Tower,Adventure,1,Breathtaking experience,2023-12-20,9.0,Photography,0,Airbnb,High,3,Cool,Bike,0,0,500,0
363,46,Male,1615,Taj Mahal,Adventure,1,Amazing view,2023-07-29,1.8,Dining,3,Hotel,High,4,Warm,Public Transport,1,0,5000,0
607,57,Other,1200,Grand Canyon,Adventure,5,Not worth the visit,2021-06-03,5.6,Photography,3,Resort,Medium,4,Warm,Car,0,1,2000,1
847,67,Other,1854,Machu Picchu,Adventure,1,Breathtaking experience,2024-05-11,7.4,Hiking,0,Hotel,Medium,1,Warm,Car,0,0,1500,1
921,51,Male,1717,Eiffel Tower,Nature,3,Too crowded,2024-08-13,8.3,Photography,3,Resort,Low,1,Warm,Bike,0,0,500,0
961,57,Female,1758,Eiffel Tower,Urban,5,Breathtaking experience,2021-05-08,5.8,Dining,1,Guesthouse,Medium,2,Warm,Taxi,1,1,3000,0
234,34,Other,1000,Eiffel Tower,Nature,3,Not worth the visit,2022-08-31,1.5,Sightseeing,2,Resort,Low,1,Cool,Taxi,0,0,500,0
751,27,Female,1234,Great Wall of China,Nature,3,Too crowded,2023-07-14,5.2,Hiking,5,Airbnb,Medium,5,Moderate,Bike,0,0,1000,0
859,48,Female,1062,Eiffel Tower,Adventure,3,Too crowded,2020-08-29,4.6,Photography,4,Airbnb,Low,2,Warm,Public Transport,0,0,1000,1
650,52,Female,1587,Great Wall of China,Historical,2,Too crowded,2020-07-11,2.9,Hiking,4,Hotel,Low,2,Cool,Car,0,0,1000,0
187,27,Other,1408,Machu Picchu,Nature,5,Loved the architecture,2020-01-31,3.2,Shopping,3,Airbnb,Low,3,Cool,Car,0,1,2000,1
289,22,Other,1686,Eiffel Tower,Urban,3,Breathtaking experience,2022-02-28,5.4,Dining,1,Airbnb,High,1,Cool,Walking,1,1,500,0
157,38,Other,1726,Grand Canyon,Nature,2,Loved the architecture,2023-07-25,8.5,Hiking,2,Airbnb,Medium,4,Cool,Public Transport,1,1,1500,1
666,53,Female,1904,Grand Canyon,Historical,1,Not worth the visit,2020-08-31,5.2,Sightseeing,0,Airbnb,High,2,Warm,Public Transport,0,1,500,1
235,19,Male,1301,Taj Mahal,Urban,4,Loved the architecture,2021-03-17,9.5,Shopping,0,Resort,High,5,Warm,Bike,1,1,500,0
666,24,Female,1386,Great Wall of China,Nature,5,Breathtaking experience,2020-03-31,9.3,Shopping,2,Resort,High,5,Moderate,Taxi,1,1,2000,0
133,47,Other,1649,Taj Mahal,Historical,4,Not worth the visit,2023-09-12,2.6,Photography,1,Hostel,Low,2,Cool,Car,1,1,5000,1
527,21,Male,1610,Grand Canyon,Historical,2,Too crowded,2024-07-01,7.3,Shopping,1,Hostel,High,1,Warm,Bike,1,0,1500,0
101,30,Female,1537,Taj Mahal,Urban,2,Amazing view,2020-11-04,7.6,Photography,5,Guesthouse,High,3,Moderate,Car,0,1,1000,0
474,50,Other,1664,Eiffel Tower,Urban,4,Too crowded,2024-02-20,3.3,Shopping,1,Hotel,High,5,Warm,Car,0,1,1500,1
416,42,Other,1540,Grand Canyon,Nature,1,Too crowded,2020-01-05,9.9,Dining,4,Resort,High,5,Warm,Public Transport,1,0,5000,1
428,29,Female,1935,Grand Canyon,Nature,4,Amazing view,2023-11-09,6.5,Sightseeing,1,Airbnb,Low,4,Warm,Car,1,1,500,0
492,67,Other,1442,Grand Canyon,Urban,1,Breathtaking experience,2021-01-11,8.3,Shopping,3,Resort,Medium,5,Warm,Taxi,1,0,500,1
329,36,Other,1121,Great Wall of China,Nature,1,Not worth the visit,2021-02-22,6.3,Hiking,2,Hostel,High,5,Cool,Car,1,0,3000,0
721,51,Male,1966,Grand Canyon,Nature,2,Not worth the visit,2022-04-08,6.9,Sightseeing,1,Guesthouse,Low,1,Cool,Car,1,1,2000,0
173,36,Female,1331,Grand Canyon,Historical,2,Breathtaking experience,2020-08-04,5.3,Photography,3,Hostel,Medium,1,Warm,Taxi,1,0,500,0
862,65,Other,1644,Grand Canyon,Adventure,4,Breathtaking experience,2021-11-06,6.7,Hiking,5,Hotel,High,4,Cool,Taxi,0,1,500,1
828,39,Female,1361,Taj Mahal,Urban,2,Loved the architecture,2022-10-22,5.3,Photography,5,Resort,Medium,1,Warm,Walking,1,1,500,1
193,68,Other,1247,Taj Mahal,Urban,2,Breathtaking experience,2024-01-18,9.5,Hiking,2,Hotel,High,3,Moderate,Bike,0,0,1500,0
298,53,Female,1036,Machu Picchu,Urban,2,Amazing view,2020-09-29,6.9,Sightseeing,5,Hostel,Medium,3,Moderate,Car,1,0,500,0
167,50,Male,1360,Great Wall of China,Urban,2,Loved the architecture,2020-07-02,5.3,Dining,2,Hostel,Low,1,Warm,Bike,1,0,1500,0
140,69,Other,1010,Taj Mahal,Nature,1,Loved the architecture,2022-05-04,5.4,Photography,0,Hotel,High,3,Cool,Taxi,1,1,2000,1
622,39,Other,1620,Taj Mahal,Nature,3,Amazing view,2021-06-28,8.7,Dining,1,Resort,Medium,2,Cool,Car,1,0,2000,0
854,45,Female,1406,Taj Mahal,Adventure,3,Not worth the visit,2022-08-27,8.5,Dining,5,Guesthouse,Low,3,Moderate,Taxi,0,1,5000,1
375,19,Female,1344,Taj Mahal,Adventure,3,Breathtaking experience,2022-05-05,3.6,Dining,5,Hotel,Medium,5,Cool,Walking,1,0,2000,1
639,67,Female,1342,Grand Canyon,Historical,5,Loved the architecture,2024-04-29,3.7,Photography,1,Airbnb,Medium,5,Warm,Car,1,1,1500,0
719,63,Male,1216,Machu Picchu,Urban,4,Too crowded,2024-08-10,4.4,Hiking,4,Hostel,High,1,Cool,Public Transport,1,1,2000,0
725,19,Other,1550,Taj Mahal,Adventure,4,Too crowded,2022-12-22,7.6,Sightseeing,1,Airbnb,Medium,2,Cool,Public Transport,0,0,1500,0
750,57,Other,1248,Grand Canyon,Nature,1,Loved the architecture,2022-12-22,4.5,Shopping,3,Airbnb,Low,2,Cool,Car,0,0,1500,0
593,55,Male,1312,Great Wall of China,Nature,2,Too crowded,2021-07-03,3.4,Photography,0,Hostel,Low,2,Moderate,Public Transport,1,1,1000,0
778,27,Male,1754,Great Wall of China,Adventure,1,Not worth the visit,2023-01-11,3.4,Dining,0,Hostel,Medium,4,Warm,Car,1,1,500,0
955,38,Male,1403,Great Wall of China,Urban,2,Amazing view,2022-03-29,6.0,Photography,3,Hostel,Medium,5,Cool,Public Transport,1,1,1500,0
621,62,Male,1773,Grand Canyon,Historical,2,Breathtaking experience,2023-02-21,8.1,Dining,4,Resort,Low,3,Moderate,Walking,1,1,5000,0
610,28,Female,1345,Taj Mahal,Adventure,4,Breathtaking experience,2022-10-24,7.5,Dining,0,Airbnb,Medium,3,Warm,Public Transport,1,1,5000,1
227,50,Female,1153,Machu Picchu,Historical,2,Not worth the visit,2021-09-05,1.9,Shopping,2,Hotel,Medium,5,Cool,Bike,1,0,5000,0
849,18,Male,1308,Eiffel Tower,Nature,4,Breathtaking experience,2024-07-12,9.2,Dining,2,Guesthouse,High,2,Cool,Bike,0,0,1500,1
145,70,Other,1026,Eiffel Tower,Historical,4,Too crowded,2020-05-17,9.0,Sightseeing,1,Hotel,Low,3,Warm,Walking,0,1,500,1
828,52,Female,1247,Machu Picchu,Urban,5,Amazing view,2023-11-05,5.2,Sightseeing,3,Airbnb,Low,4,Moderate,Walking,0,1,3000,0
367,44,Female,1320,Eiffel Tower,Nature,4,Loved the architecture,2020-03-12,5.8,Dining,4,Airbnb,Low,3,Cool,Public Transport,0,1,3000,1
467,67,Female,1800,Taj Mahal,Urban,3,Breathtaking experience,2021-06-01,9.2,Photography,4,Guesthouse,Low,3,Cool,Car,0,0,5000,1
876,22,Female,1543,Great Wall of China,Adventure,2,Amazing view,2021-03-05,9.1,Photography,1,Resort,Medium,2,Moderate,Bike,0,0,1000,1
151,25,Male,1773,Grand Canyon,Adventure,1,Breathtaking experience,2021-05-27,3.8,Photography,0,Airbnb,Low,2,Warm,Public Transport,1,0,1000,1
643,58,Other,1316,Taj Mahal,Historical,1,Not worth the visit,2024-01-06,5.8,Hiking,0,Airbnb,Low,5,Warm,Taxi,0,1,5000,1
647,63,Female,1608,Eiffel Tower,Urban,3,Breathtaking experience,2020-06-25,1.2,Sightseeing,2,Airbnb,Medium,4,Cool,Public Transport,1,0,5000,0
510,57,Other,1919,Eiffel Tower,Urban,2,Not worth the visit,2021-08-15,1.7,Sightseeing,4,Resort,High,4,Moderate,Taxi,0,0,500,0
403,70,Other,1874,Machu Picchu,Urban,3,Loved the architecture,2022-12-08,6.1,Shopping,4,Guesthouse,Low,2,Warm,Taxi,0,1,500,1
545,30,Female,1232,Grand Canyon,Historical,1,Loved the architecture,2022-03-25,6.8,Hiking,2,Guesthouse,Low,5,Warm,Taxi,1,0,500,1
884,43,Female,1777,Machu Picchu,Historical,2,Not worth the visit,2023-01-08,9.0,Sightseeing,4,Resort,High,1,Warm,Car,0,0,1500,1
826,58,Female,1018,Machu Picchu,Nature,2,Loved the architecture,2024-03-21,10.0,Hiking,4,Hotel,High,4,Cool,Taxi,0,0,1000,1
169,53,Female,1200,Eiffel Tower,Adventure,3,Not worth the visit,2021-11-21,3.8,Sightseeing,0,Guesthouse,High,5,Cool,Public Transport,0,0,500,0
124,26,Other,1944,Taj Mahal,Urban,5,Too crowded,2022-03-10,3.0,Shopping,4,Guesthouse,Medium,4,Warm,Public Transport,1,0,1000,0
373,69,Male,1698,Grand Canyon,Historical,4,Amazing view,2024-07-15,8.6,Shopping,3,Airbnb,Medium,2,Cool,Taxi,1,0,5000,0
726,38,Female,1937,Eiffel Tower,Adventure,2,Not worth the visit,2020-03-28,8.1,Dining,4,Hostel,High,4,Warm,Taxi,1,0,500,1
139,23,Male,1014,Grand Canyon,Nature,1,Not worth the visit,2020-11-25,7.0,Dining,0,Guesthouse,Low,2,Warm,Public Transport,1,0,2000,0
967,41,Other,1165,Taj Mahal,Adventure,3,Too crowded,2020-09-19,8.5,Photography,4,Guesthouse,Low,3,Cool,Public Transport,0,0,500,1
268,29,Other,1308,Great Wall of China,Historical,4,Not worth the visit,2021-11-20,3.0,Photography,3,Hotel,Low,2,Cool,Walking,1,0,5000,0
651,25,Male,1361,Eiffel Tower,Urban,1,Not worth the visit,2023-11-12,6.2,Shopping,5,Hostel,Medium,1,Moderate,Taxi,0,1,2000,1
347,51,Male,1915,Machu Picchu,Urban,3,Too crowded,2022-10-09,5.9,Dining,5,Guesthouse,Low,3,Moderate,Public Transport,1,1,1500,0
813,69,Female,1266,Eiffel Tower,Adventure,3,Too crowded,2020-08-04,4.1,Sightseeing,1,Hotel,High,3,Cool,Walking,1,1,1000,1
805,49,Male,1189,Taj Mahal,Adventure,2,Loved the architecture,2022-09-11,5.9,Dining,5,Airbnb,High,4,Moderate,Public Transport,0,1,3000,0
786,25,Female,1820,Great Wall of China,Adventure,4,Loved the architecture,2020-05-19,1.7,Hiking,0,Hostel,Medium,1,Cool,Public Transport,1,1,500,1
213,23,Other,1830,Great Wall of China,Nature,4,Breathtaking experience,2023-04-30,6.8,Sightseeing,1,Airbnb,Medium,1,Moderate,Taxi,1,0,1000,0
575,25,Other,1154,Grand Canyon,Nature,3,Too crowded,2023-09-27,6.5,Photography,3,Hotel,High,5,Cool,Public Transport,0,0,1000,0
